Round,Match,Red1,Red2,Red3,Blue1,Blue2,Blue3,RedScore,BlueScore
Round1,Match 1,2718,6424,3284,9410,1847,1730,39,49
Round1,Match 2,1769,5098,1108,5801,1982,5454,77,67
Round1,Match 3,3928,1775,2357,1825,8825,935,84,76
Round1,Match 4,1987,1802,5126,1986,1710,5013,56,82
Round2,Match 5,2718,6424,3284,5801,1982,5454,51,44
Round2,Match 6,935,5119,1825,5126,1785,1987,58,48
Round2,Match 7,1730,1847,9410,1108,5098,1769,53,66
Round2,Match 8,1775,3928,2357,1986,1710,5013,52,92
Round3,Match 9,2345,1847,9410,1825,5119,935,32,73
Round3,Match 10,1775,3928,2357,3284,6424,2718,83,98
Round4,Match 11,1769,5098,1108,1986,1710,5013,72,75
Round4,Match 12,2718,6424,3284,1825,5119,935,130,57
Round5,Match 13,4455,5098,1108,3284,6424,2718,69,103
Finals,Finals 1,5013,1710,1986,3284,6424,2718,52,71
Finals,Finals 2,5013,1710,1986,3284,6424,2718,54,60